title,raw_text,url,source_name,source_type,published_at,language,domain_tags,batch_id,source_note,signal_focus,expected_quality
Tracking AI infra is too scattered,"I spend hours every week tracking AI infrastructure companies across blogs, GitHub, filings and newsletters. Paid databases miss many technical updates, and our VC team still keeps a manual spreadsheet.",https://example.com/real/1,manual_import,manual,2026-05-01,en,ai_investment_research,batch_stage26_ai_research,一点五阶段继承校准样本,pain,strong
Agent workflows break in handoffs,"Our startup tried to use AI agents for customer research, but the workflow is not reliable. Each handoff needs manual checking and founders cannot trust the final summary.",https://example.com/real/2,manual_import,manual,2026-05-02,en,ai_agent_workflow,batch_stage26_agent_workflow,一点五阶段继承校准样本,pain,strong
Newsletter research takes too much time,"As a creator, I spend too much time comparing product launches, funding news, and founder posts before writing the weekly newsletter. There is no good way to summarize what changed.",https://example.com/real/3,manual_import,manual,2026-05-03,en,content_production,batch_stage26_content_workflow,一点五阶段继承校准样本,pain,strong
Developer API docs hard to find,"Developers on our team struggle to find the right API examples. GitHub issues mention workarounds, but the SDK docs are incomplete and slow to search.",https://example.com/real/4,manual_import,manual,2026-05-04,en,ai_agent_workflow,batch_stage26_devtools,一点五阶段继承校准样本,pain,strong
Research analyst cannot verify claims,"An analyst said it is hard to verify AI vendor claims because benchmarks, customer logos, and pricing notes are scattered across many pages.",https://example.com/real/5,manual_import,manual,2026-05-05,en,enterprise_knowledge_workflow,batch_stage26_enterprise_knowledge,一点五阶段继承校准样本,pain,strong
Operator SOP updates are noisy,Ops teams get too noisy Slack threads when SOPs change. The manual process of checking docs and old tickets wastes time every week.,https://example.com/real/6,manual_import,manual,2026-05-06,en,enterprise_knowledge_workflow,batch_stage26_enterprise_knowledge,一点五阶段继承校准样本,pain,medium
Weak founder signal about dashboards,"A founder mentioned that dashboards are useful and they might want a better way to see market updates someday, but no current pain was described.",https://example.com/real/7,manual_import,manual,2026-05-07,en,ai_investment_research,batch_stage26_ai_research,一点五阶段继承弱信号样本,weak_signal,weak
Product launch announcement,We shipped a new AI notes feature and improved onboarding for all users today.,https://example.com/real/8,manual_import,manual,2026-05-08,en,enterprise_knowledge_workflow,batch_stage26_noise,一点五阶段继承噪音样本,noise,noise
General AI opinion,AI agents will probably transform research work over the next decade.,https://example.com/real/9,manual_import,manual,2026-05-09,en,ai_agent_workflow,batch_stage26_noise,一点五阶段继承噪音样本,noise,noise
Sales lead workflow noisy,"BD teams say CRM lead research is too noisy. Sales reps manually check websites, LinkedIn posts, and funding news before each outreach.",https://example.com/real/10,manual_import,manual,2026-05-10,en,enterprise_knowledge_workflow,batch_stage26_enterprise_knowledge,一点五阶段继承校准样本,pain,medium
