target_signal_id,target_group_id,target_group_title_zh,target_truth_score_id,target_current_score,target_gap_types,evidence_intent,desired_source_type,desired_language,suggested_keywords,title,raw_text,url,source_name,source_type,published_at,language,domain_tags,batch_id,source_note,signal_focus,expected_quality,is_synthetic,exclude_from_truth_scoring,collection_status,collector_note
tsig_000001,ai_cluster_group_000001,内容团队在选题生产中面临的信息分散与人工整理低效问题,truth_score_000133,70.4,paid_alternative|budget_signal|manual_workaround|current_solution,paid_alternative,pricing_page,zh,内容团队 选题 效率 痛点,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000002,ai_cluster_group_000001,内容团队在选题生产中面临的信息分散与人工整理低效问题,truth_score_000133,70.4,paid_alternative|budget_signal|manual_workaround|current_solution,budget_signal,product_review,zh,热点筛选 人工整理 素材 工作流,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000003,ai_cluster_group_000001,内容团队在选题生产中面临的信息分散与人工整理低效问题,truth_score_000133,70.4,paid_alternative|budget_signal|manual_workaround|current_solution,manual_workaround,forum_post,zh,自媒体 选题 工具 付费,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000004,ai_cluster_group_000001,内容团队在选题生产中面临的信息分散与人工整理低效问题,truth_score_000133,70.4,paid_alternative|budget_signal|manual_workaround|current_solution,current_solution,community_discussion,zh,内容运营 信息源 分散,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000005,ai_cluster_group_000001,内容团队在选题生产中面临的信息分散与人工整理低效问题,truth_score_000133,70.4,paid_alternative|budget_signal|manual_workaround|current_solution,business_impact,case_study,zh,AI 内容选题 工作流,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000006,ai_cluster_group_000001,内容团队在选题生产中面临的信息分散与人工整理低效问题,truth_score_000133,70.4,paid_alternative|budget_signal|manual_workaround|current_solution,paid_alternative,pricing_page,zh,内容团队在选题生 付费 工具 抢占,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000007,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,paid_alternative,pricing_page,zh,SaaS 工具 信息整理 痛点,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000008,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,budget_signal,product_review,zh,企业知识库 检索 困难,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000009,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,paid_alternative,pricing_page,zh,运营 文档分散 工作流,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000010,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,budget_signal,product_review,zh,运营在企业知识工 付费 工具 抢占,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000011,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,manual_workaround,forum_post,zh,运营在企业知识工 业务损失 效率 影响,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000012,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,current_solution,community_discussion,zh,enterprise knowledge base search difficulty,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000013,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,manual_workaround,forum_post,zh,SaaS tool information fragmentation pain,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000014,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,business_impact,case_study,zh,operations workflow documentation scattered,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000015,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,time_cost,forum_post,zh,tool pricing subscription workflow,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000016,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000135,46.6,paid_alternative|budget_signal|manual_workaround|current_solution,paid_alternative,pricing_page,zh,business impact workflow inefficiency cost,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000017,ai_cluster_group_000004,投资人在AI产业跟踪中面临的多渠道信息人工收集整理低效问题,truth_score_000136,66.4,paid_alternative|budget_signal|manual_workaround|current_solution,paid_alternative,pricing_page,zh,AI 项目初筛 信息分散 尽调,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000018,ai_cluster_group_000004,投资人在AI产业跟踪中面临的多渠道信息人工收集整理低效问题,truth_score_000136,66.4,paid_alternative|budget_signal|manual_workaround|current_solution,budget_signal,product_review,zh,投资人 AI 产业跟踪 数据源,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
tsig_000019,ai_cluster_group_000004,投资人在AI产业跟踪中面临的多渠道信息人工收集整理低效问题,truth_score_000136,66.4,paid_alternative|budget_signal|manual_workaround|current_solution,paid_alternative,pricing_page,zh,VC 项目筛选 人工整理 痛点,,,,,,,,,batch_stage33_targeted,,,,False,False,pending,
