target_signal_id,target_group_id,target_group_title_zh,target_truth_score_id,target_current_score,target_gap_types,evidence_intent,desired_source_type,desired_language,suggested_keywords,title,raw_text,url,source_name,source_type,published_at,language,domain_tags,batch_id,source_note,signal_focus,expected_quality,is_synthetic,exclude_from_truth_scoring,collection_status,collector_note,stage35_candidate_priority,stage35_required_signal_type,stage35_quality_bar,stage35_collection_hint_zh
s35_ai_clust_001,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,paid_alternative,pricing_page,zh|en,AI产业跟踪工具 付费 订阅 | 投资研究 SaaS 价格 | 企业知识库 项目管理 云 付费,,,,,pricing_page,,,,batch_stage35_targeted,,paid_alternative,high,false,false,pending,,1,paid_alternative,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充paid_alternative类型证据
s35_ai_clust_002,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,budget_signal,product_review,zh|en,投研工具 预算 年费 应用 | 企业知识 采购 软件 评估 | investment research software budget team,,,,,product_review,,,,batch_stage35_targeted,,budget_signal,high,false,false,pending,,1,budget_signal,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充budget_signal类型证据
s35_ai_clust_003,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,business_impact,case_study,zh|en,信息分散 业务影响 决策延误 | 企业知识敢失 人力成本 工作效率 | business impact missed deals slow research,,,,,case_study,,,,batch_stage35_targeted,,business_impact,high,false,false,pending,,1,business_impact,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充business_impact类型证据
s35_ai_clust_004,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,time_cost,forum_post,zh|en,每周人工浏览 时间浪费 业务数据 | 每天搜集信息 重复劳动 研究员 | hours spent manually gathering AI news,,,,,forum_post,,,,batch_stage35_targeted,,time_cost,high,false,false,pending,,1,time_cost,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充time_cost类型证据
s35_ai_clust_005,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,paid_alternative,pricing_page,zh|en,AI产业跟踪工具 付费 订阅 | 投资研究 SaaS 价格 | 企业知识库 项目管理 云 付费,,,,,pricing_page,,,,batch_stage35_targeted,,paid_alternative,high,false,false,pending,,1,paid_alternative,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充paid_alternative类型证据
s35_ai_clust_006,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,budget_signal,product_review,zh|en,投研工具 预算 年费 应用 | 企业知识 采购 软件 评估 | investment research software budget team,,,,,product_review,,,,batch_stage35_targeted,,budget_signal,high,false,false,pending,,1,budget_signal,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充budget_signal类型证据
s35_ai_clust_007,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,business_impact,case_study,zh|en,信息分散 业务影响 决策延误 | 企业知识敢失 人力成本 工作效率 | business impact missed deals slow research,,,,,case_study,,,,batch_stage35_targeted,,business_impact,high,false,false,pending,,1,business_impact,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充business_impact类型证据
s35_ai_clust_008,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,time_cost,forum_post,zh|en,每周人工浏览 时间浪费 业务数据 | 每天搜集信息 重复劳动 研究员 | hours spent manually gathering AI news,,,,,forum_post,,,,batch_stage35_targeted,,time_cost,high,false,false,pending,,1,time_cost,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充time_cost类型证据
s35_ai_clust_009,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,paid_alternative,pricing_page,zh|en,AI产业跟踪工具 付费 订阅 | 投资研究 SaaS 价格 | 企业知识库 项目管理 云 付费,,,,,pricing_page,,,,batch_stage35_targeted,,paid_alternative,high,false,false,pending,,1,paid_alternative,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充paid_alternative类型证据
s35_ai_clust_010,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,current_solution,community_discussion,zh|en,投资人 现在用 手动整理 信息来源 | 当前工具链 知识检索 内部系统 | current workflow knowledge retrieval internal tool,,,,,community_discussion,,,,batch_stage35_targeted,,current_solution,high,false,false,pending,,1,current_solution,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充current_solution类型证据
s35_ai_clust_011,ai_cluster_group_000003,运营在企业知识工作流中遇到的「文档分散、检索困难、人工整理低效」问题,truth_score_000100,66.4,paid_alternative|budget_signal|manual_workaround,manual_workaround,forum_post,zh|en,人工整理 多个工具 信息分散 | 表格记录 手动更新 AI项目 | manual data aggregation research analyst spreadsheet,,,,,forum_post,,,,batch_stage35_targeted,,manual_workaround,high,false,false,pending,,1,manual_workaround,必须包含具体价格/成本/替代方案信息,针对「运营在企业知识工作流中遇到的「文档分散、」，补充manual_workaround类型证据
