title,raw_text,url,source_name,source_type,published_at,language,domain_tags
"Tracking AI infra is too scattered","I spend hours every week tracking AI infrastructure companies across blogs, GitHub, filings and newsletters. Paid databases miss many technical updates, and our VC team still keeps a manual spreadsheet.","https://example.com/real/1","manual_import","manual","2026-05-01","en","ai_investment_research"
"Agent workflows break in handoffs","Our startup tried to use AI agents for customer research, but the workflow is not reliable. Each handoff needs manual checking and founders cannot trust the final summary.","https://example.com/real/2","manual_import","manual","2026-05-02","en","ai_agent_workflow"
"Newsletter research takes too much time","As a creator, I spend too much time comparing product launches, funding news, and founder posts before writing the weekly newsletter. There is no good way to summarize what changed.","https://example.com/real/3","manual_import","manual","2026-05-03","en","content_production"
"Developer API docs hard to find","Developers on our team struggle to find the right API examples. GitHub issues mention workarounds, but the SDK docs are incomplete and slow to search.","https://example.com/real/4","manual_import","manual","2026-05-04","en","ai_agent_workflow"
"Research analyst cannot verify claims","An analyst said it is hard to verify AI vendor claims because benchmarks, customer logos, and pricing notes are scattered across many pages.","https://example.com/real/5","manual_import","manual","2026-05-05","en","enterprise_knowledge_workflow"
"Operator SOP updates are noisy","Ops teams get too noisy Slack threads when SOPs change. The manual process of checking docs and old tickets wastes time every week.","https://example.com/real/6","manual_import","manual","2026-05-06","en","enterprise_knowledge_workflow"
"Weak founder signal about dashboards","A founder mentioned that dashboards are useful and they might want a better way to see market updates someday, but no current pain was described.","https://example.com/real/7","manual_import","manual","2026-05-07","en","ai_investment_research"
"Product launch announcement","We shipped a new AI notes feature and improved onboarding for all users today.","https://example.com/real/8","manual_import","manual","2026-05-08","en","enterprise_knowledge_workflow"
"General AI opinion","AI agents will probably transform research work over the next decade.","https://example.com/real/9","manual_import","manual","2026-05-09","en","ai_agent_workflow"
"Sales lead workflow noisy","BD teams say CRM lead research is too noisy. Sales reps manually check websites, LinkedIn posts, and funding news before each outreach.","https://example.com/real/10","manual_import","manual","2026-05-10","en","enterprise_knowledge_workflow"
"投资尽调信息太分散","投资团队做 AI 硬科技尽调时，论文、融资新闻、GitHub、客户案例太分散，研究员每周都要人工整理表格，容易漏掉重要更新。","https://example.com/real/11","manual_import","manual","2026-05-11","zh","ai_investment_research"
"研究员不好验证供应商说法","研究员反馈，AI 供应商的性能说法不好验证，官网、白皮书、客户案例口径不一致，人工核对很耗时。","https://example.com/real/12","manual_import","manual","2026-05-12","zh","enterprise_knowledge_workflow"
"内容团队选题效率低","内容团队每天找选题很费时间，公众号、播客、竞品页面的信息太分散，最后还是人工整理到表格里。","https://example.com/real/13","manual_import","manual","2026-05-13","zh","content_production"
"AI Agent 流程不好追踪","创业者尝试用 AI Agent 跑客户访谈摘要，但流程不好追踪，中间步骤容易漏，最后还要人工逐条检查。","https://example.com/real/14","manual_import","manual","2026-05-14","zh","ai_agent_workflow"
"开发者 SDK 示例不完整","开发者说 SDK 示例不完整，GitHub issue 里答案分散，排查一个 API 参数要翻很多页面，效率低。","https://example.com/real/15","manual_import","manual","2026-05-15","zh","ai_agent_workflow"
"运营 SOP 信息太乱","运营团队的 SOP 更新散在文档、群消息和工单里，信息太乱，交接时经常要人工整理上下文。","https://example.com/real/16","manual_import","manual","2026-05-16","zh","enterprise_knowledge_workflow"
"模糊的市场观察","有人觉得 AI 投研工具会越来越多，但没有说具体哪里难，也没有提到当前替代方案。","https://example.com/real/17","manual_import","manual","2026-05-17","zh","ai_investment_research"
"普通功能更新","我们今天上线了新的导出按钮和个人设置页。","https://example.com/real/18","manual_import","manual","2026-05-18","zh","enterprise_knowledge_workflow"
"创始人弱痛点","创始人说现在竞品监控有点麻烦，但只是偶尔看看，没有固定流程，也没有付费预算。","https://example.com/real/19","manual_import","manual","2026-05-19","zh","ai_investment_research"
"客服知识库难筛选","企业知识库里历史工单、产品文档、FAQ 混在一起，客服 operator 很难筛选出最新答案，回复前还要人工确认。","https://example.com/real/20","manual_import","manual","2026-05-20","zh","enterprise_knowledge_workflow"
